Used 2019 Subaru, WRX Premium Manual, $18,795, Fair Price, 86,016 miles, 
Used 2019 Subaru, Ascent Limited 8-Passenger, $21,581, Fair Price, 83,177 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $22,500, Fair Price, 38,754 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $20,995, Fair Price, 63,735 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $20,675, Great Price, 74,525 miles, 
Used 2019 Subaru, Forester 2.5i, $21,000, Fair Price, 34,064 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $15,795, High Price, 103,890 miles, 
Used 2019 Subaru, Forester 2.5i Touring, $22,480, Fair Price, 67,008 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $21,995, Fair Price, 39,113 miles, 
Used 2019 Subaru, Ascent Premium 8-Passenger, $18,410, Fair Price, 85,651 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $18,781, Great Price, 69,988 miles, 
Used 2019 Subaru, Impreza 2.0i Premium 5-door CVT, $14,995, Great Price, 56,185 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $13,999, High Price, 110,854 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $16,745, Excellent Price, 113,627 miles, 
Used 2019 Subaru, Impreza 2.0i Premium 5-door CVT, $9,495, Excellent Price, 158,946 miles, 
Used 2019 Subaru, Ascent Limited 8-Passenger, $21,495, Fair Price, 67,349 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $9,990, Excellent Price, 138,113 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $18,095, Great Price, 88,673 miles, 
Used 2019 Subaru, Outback 2.5i Touring, $25,998, Fair Price, 41,392 miles, 
Used 2019 Subaru, WRX STI Limited with Wing Spoiler Manual, $24,900, Fair Price, 69,371 miles, 
Used 2019 Subaru, Ascent Premium 7-Passenger, $12,995, Fair Price, 111,015 miles, 
Used 2019 Subaru, Legacy 2.5i Premium, $14,499, High Price, 84,436 miles, 
Used 2019 Subaru, Forester 2.5i Limited, $19,999, High Price, 100,810 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $20,990, Great Price, 49,256 miles, 
Used 2019 Subaru, Outback 2.5i Premium, $16,200, Great Price, 100,758 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $14,250, Fair Price, 124,688 miles, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $18,200, Excellent Price, 82,563 miles, 
Used 2019 Subaru, Outback 2.5i Premium, $17,385, Fair Price, 71,494 miles, 
Used 2019 Subaru, WRX Premium Manual, $21,989, High Price, 61,057 miles, 
Used 2019 Subaru, Ascent Premium 7-Passenger, $12,995, Fair Price, 111,015 miles, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $16,995, Great Price, 96,407 miles, 
Used 2019 Subaru, WRX STI Limited with Wing Spoiler Manual, $24,900, Fair Price, 69,371 miles, 
Used 2019 Subaru, WRX Premium Manual, $17,999, Great Price, 80,741 miles, 
Used 2019 Subaru, Forester 2.5i, $16,995, High Price, 92,426 miles, 
Used 2019 Subaru, WRX STI Limited with Wing Spoiler Manual, $25,995, High Price, 85,829 miles, 
Used 2019 Subaru, Impreza 2.0i 5-door CVT, $13,495, Fair Price, 74,697 miles, 
Used 2019 Subaru, Impreza 2.0i Premium 4-door CVT, $16,500, Great Price, 45,521 miles, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $16,150, Fair Price, 96,191 miles, 
Used 2019 Subaru, Legacy 2.5i, $22,595, Fair Price, 35,396 miles, 
Used 2019 Subaru, Impreza 2.0i 4-door CVT, $10,499, Great Price, 95,895 miles, 
Used 2019 Subaru, Impreza 2.0i Premium 5-door CVT, $13,511, Fair Price, 106,408 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $16,420, Fair Price, 111,699 miles, 
Used 2019 Subaru, Forester 2.5i Sport, $25,783, High Price, 34,773 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $17,995, Fair Price, 88,746 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $14,895, High Price, 134,687 miles, 
Used 2019 Subaru, WRX STI Manual, $27,295, Fair Price, 61,787 miles, 
Used 2019 Subaru, Forester 2.5i, $13,900, Fair Price, 124,996 miles, 
Used 2019 Subaru, Outback 2.5i Touring, $22,995, Fair Price, 45,452 miles, 
Used 2019 Subaru, Impreza 2.0i 5-door CVT, $11,490, Fair Price, 114,396 miles, 
Used 2019 Subaru, Forester 2.5i Limited, $19,999, High Price, 100,810 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $14,790, Fair Price, 98,369 miles, 
Used 2019 Subaru, Ascent Premium 7-Passenger, $16,499, Fair Price, 91,200 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $23,995, High Price, 18,586 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $20,990, Great Price, 49,256 miles, 
Used 2019 Subaru, Outback 3.6R Limited, $22,383, High Price, 59,504 miles, 
Used 2019 Subaru, WRX Premium Manual, $23,990, High Price, 118,749 miles, 
Used 2019 Subaru, Forester 2.5i Touring, $19,027, Fair Price, 103,593 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $19,388, High Price, 61,364 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $15,250, High Price, 84,816 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $20,385, Fair Price, 48,889 miles, 
Used 2019 Subaru, Impreza 2.0i 5-door CVT, $13,490, High Price, 98,816 miles, 
Used 2019 Subaru, Impreza 2.0i Sport 4-door CVT, $17,793, High Price, 64,627 miles, 
Used 2019 Subaru, WRX STI Manual, $24,995, High Price, 70,355 miles, 
Used 2019 Subaru, Ascent Premium 8-Passenger, $27,888, High Price, 14,076 miles, 
Used 2019 Subaru, Legacy 2.5i Premium, $11,499, High Price, 119,880 miles, 
Used 2019 Subaru, Outback 3.6R Limited, $22,300, High Price, 64,053 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $22,460, High Price, 21,776 miles, 
Used 2019 Subaru, Forester 2.5i Limited, $14,495, High Price, 197,083 miles, 
Used 2019 Subaru, Legacy 2.5i Limited, $22,695, High Price, 44,427 miles, 
Used 2019 Subaru, Impreza 2.0i Sport 4-door CVT, $20,495, High Price, 45,985 miles, 
Used 2019 Subaru, Legacy 2.5i Limited, $20,769, High Price, 41,445 miles, 
