Used 2023 Mazda, CX-5 2.5 S Preferred, $27,000, Fair Price, 25,352 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,998, Fair Price, 32,274 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $26,488, High Price, 36,559 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,888, High Price, 29,184 miles, 
Used 2023 Mazda, CX-30 Turbo Premium, $27,100, Fair Price, 31,014 miles, 
Used 2023 Mazda, CX-30 S, $24,998, High Price, 14,202 miles, 
Used 2023 Mazda, CX-9 Signature, $33,253, Fair Price, 24,223 miles, 
Used 2023 Mazda, MX-5 Miata Club Manual, $34,998, High Price, 1,539 miles, 
Used 2023 Mazda, MX-5 Miata RF Grand Touring Manual, $28,928, Fair Price, 20,668 miles, 
Used 2023 Mazda, CX-30 S, $24,998, High Price, 8,905 miles, 
Used 2023 Mazda, CX-30 Select, $21,340, Fair Price, 39,705 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,975, Fair Price, 25,178 miles, 
Used 2023 Mazda, CX-30 S, $22,250, High Price, 12,623 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,998, Fair Price, 25,126 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $29,491, Fair Price, 37,750 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $27,888, High Price, 10,725 miles, 
Used 2023 Mazda, CX-30 Select, $23,501, High Price, 13,164 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $25,355, Great Price, 41,419 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium Plus, $28,800, Great Price, 16,958 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $31,567, Fair Price, 21,050 miles, 
Used 2023 Mazda, CX-5 2.5 Turbo Signature, $32,798, High Price, 13,185 miles, 
Used 2023 Mazda, CX-30 Select, $24,650, High Price, 10,650 miles, 
Used 2023 Mazda, Mazda3 Carbon Edition Sedan Automatic FWD, $19,999, High Price, 65,597 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $23,700, Fair Price, 17,503 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,000, High Price, 29,581 miles, 
Used 2023 Mazda, CX-5 2.5 S, $24,850, High Price, 15,710 miles, 
Used 2023 Mazda, CX-30 S, $23,998, High Price, 12,327 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,500, High Price, 16,058 miles, 
Used 2023 Mazda, MX-5 Miata RF Grand Touring Manual, $29,750, Great Price, 4,720 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,000, High Price, 29,581 miles, 
Used 2023 Mazda, CX-50 Select, $25,000, High Price, 32,266 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $29,000, Great Price, 36,219 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $26,300, Fair Price, 34,671 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $31,987, Fair Price, 30,157 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,309, Fair Price, 28,234 miles, 
Used 2023 Mazda, CX-9 Touring, $23,599, High Price, 49,724 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,500, High Price, 16,058 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $26,000, High Price, 25,191 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $31,952, Fair Price, 25,428 miles, 
Used 2023 Mazda, CX-50 Turbo Premium Plus, $33,495, Fair Price, 19,929 miles, 
Used 2023 Mazda, MX-5 Miata Grand Touring Manual, $29,991, Fair Price, 13,652 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $30,998, High Price, 19,113 miles, 
Used 2023 Mazda, CX-9 Signature, $33,253, Fair Price, 24,223 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $26,974, High Price, 47,127 miles, 
Used 2023 Mazda, CX-30 Select, $21,995, High Price, 116,068 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $27,888, Fair Price, 35,174 miles, 
Used 2023 Mazda, CX-30 Preferred, $23,569, High Price, 36,885 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $31,567, Fair Price, 21,050 miles, 
Used 2023 Mazda, CX-30 Turbo Premium, $28,500, High Price, 11,953 miles, 
Used 2023 Mazda, CX-9 Signature, $33,987, High Price, 35,436 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $27,500, Fair Price, 18,851 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $23,288, Great Price, 45,633 miles, 
Used 2023 Mazda, CX-9 Touring, $29,321, Fair Price, 37,898 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $29,250, High Price, 15,524 miles, 
Used 2023 Mazda, CX-30 Preferred, $27,954, High Price, 19,449 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $32,890, Fair Price, 19,159 miles, 
Used 2023 Mazda, CX-50 Turbo Premium Plus, $31,724, Fair Price, 34,377 miles, 
Used 2023 Mazda, CX-30 Select, $21,995, High Price, 116,068 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $26,911, Fair Price, 27,071 miles, 
Used 2023 Mazda, CX-30 Preferred, $23,569, High Price, 36,885 miles, 
