Used 2024 Hyundai, Kona N Line AWD, $26,495, High Price, 10,268 miles, 
Used 2024 Hyundai, Palisade Calligraphy AWD, $43,500, Fair Price, 27,974 miles, 
Used 2024 Hyundai, Venue Limited IVT, $21,888, Fair Price, 4,644 miles, 
Used 2024 Hyundai, Santa Fe Hybrid SEL AWD, $35,987, High Price, 10,377 miles, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, $26,995, High Price, 1,465 miles, 
Used 2024 Hyundai, Santa Fe XRT AWD, $35,500, Fair Price, 964 miles, 
Used 2024 Hyundai, Santa Fe XRT AWD, $30,295, High Price, 8,077 miles, 
Used 2024 Hyundai, Elantra SE IVT, $20,213, High Price, 3,724 miles, 
Used 2024 Hyundai, Elantra SE IVT, $17,457, Great Price, 23,661 miles, 
Used 2024 Hyundai, Kona N Line AWD, $27,811, High Price, 3,233 miles, 
Used 2024 Hyundai, Elantra SE IVT, $21,495, High Price, 7,035 miles, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, $48,605, High Price, 30 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $23,911, Excellent Price, 23,650 miles, 
Used 2024 Hyundai, Tucson Limited FWD, $30,911, High Price, 12,607 miles, 
Used 2024 Hyundai, Kona SEL AWD, $25,995, High Price, 10,170 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $28,295, High Price, 8,688 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $16,995, Excellent Price, 26,953 miles, 
Used 2024 Hyundai, Tucson Limited FWD, $29,911, High Price, 20,349 miles, 
Used 2024 Hyundai, Venue SEL IVT, $22,995, High Price, 2,385 miles, 
Used 2024 Hyundai, IONIQ 5 Limited RWD, $30,995, High Price, 6,796 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $23,911, Excellent Price, 23,650 miles, 
Used 2024 Hyundai, Kona SEL AWD, $25,995, High Price, 10,170 miles, 
Used 2024 Hyundai, Tucson Limited FWD, $30,911, High Price, 12,607 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $38,000, High Price, 3,382 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $22,443, High Price, 12,261 miles, 
Used 2024 Hyundai, Tucson Limited FWD, $29,911, High Price, 20,349 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $28,295, High Price, 8,688 miles, 
Used 2024 Hyundai, Venue SEL IVT, $23,759, High Price, 8,343 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $39,800, High Price, 1,831 miles, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, $57,168, High Price, 30 miles, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, $57,030, High Price, 30 miles, 
Used 2024 Hyundai, Tucson SEL FWD Limited Availability, $26,432, High Price, 49,229 miles, 
Used 2024 Hyundai, Kona SEL AWD, $24,399, High Price, 9,966 miles, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, $42,900, High Price, 31 miles, 
Used 2024 Hyundai, Kona Limited FWD, $25,995, High Price, 41,065 miles, 
Used 2024 Hyundai, Santa Fe Hybrid Limited AWD, $41,200, High Price, 2,992 miles, 
Used 2024 Hyundai, Tucson Hybrid SEL Convenience AWD, $28,590, Great Price, 13,226 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $39,700, High Price, 2,158 miles, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, $43,500, High Price, 1,439 miles, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, $30,995, Great Price, 9,167 miles, 
Used 2024 Hyundai, Santa Fe Limited FWD, $35,639, High Price, 16,793 miles, 
Used 2024 Hyundai, Santa Cruz SEL AWD, $29,950, High Price, 5,896 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $26,500, High Price, 29,158 miles, 
Used 2024 Hyundai, IONIQ 6 Limited AWD, $35,217, Great Price, 2,268 miles, 
Used 2024 Hyundai, Tucson SE AWD, $27,792, High Price, 13,801 miles, 
Used 2024 Hyundai, Palisade SEL FWD, $36,500, High Price, 18,188 miles, 
Used 2024 Hyundai, Sonata N Line FWD, $28,900, High Price, 12,400 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $22,911, Fair Price, 44,184 miles, 
Used 2024 Hyundai, Tucson SE AWD, $27,792, High Price, 13,801 miles, 
Used 2024 Hyundai, Santa Fe Hybrid Limited AWD, $39,995, High Price, 7,868 miles, 
Used 2024 Hyundai, Elantra SE IVT, $20,995, Fair Price, 7,059 miles, 
Used 2024 Hyundai, Elantra SE IVT, $21,495, High Price, 9,855 miles, 
Used 2024 Hyundai, Elantra SE IVT, $21,995, High Price, 6,421 miles, 
Used 2024 Hyundai, Palisade SEL FWD, $36,865, High Price, 12,226 miles, 
