Used 2024 Ford, Escape ST-Line Elite AWD, $33,154, Fair Price, 5,257 miles, 
Used 2024 Ford, Escape ST-Line Elite AWD, $32,192, Fair Price, 12,212 miles, 
Used 2024 Ford, Mustang Mach-E Select AWD, $31,795, Excellent Price, 11,752 miles, 
Used 2024 Ford, Edge SEL, $24,777, Fair Price, 2,690 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $42,500, Fair Price, 31,289 miles, 
Used 2024 Ford, Expedition XLT 4WD, $56,000, Fair Price, 3,323 miles, 
Used 2024 Ford, Maverick LARIAT SuperCrew FWD, $35,998, Fair Price, 16,173 miles, 
Used 2024 Ford, Transit Passenger Wagon T-350 XLT 148" Medium Roof RWD, $42,500, Fair Price, 64,700 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $42,777, High Price, 25,195 miles, 
Used 2024 Ford, Super Duty F-350 LARIAT Crew Cab 6.75' Box SRW 4WD, $66,325, Great Price, 8,308 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $51,000, Fair Price, 1,265 miles, 
Used 2024 Ford, Expedition Max Limited 4WD, $48,999, Excellent Price, 25,991 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $47,900, High Price, 16,704 miles, 
Used 2024 Ford, Bronco Sport Big Bend, $26,681, Great Price, 27,223 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $42,500, Fair Price, 31,289 miles, 
Used 2024 Ford, Super Duty F-250 XL Regular Cab 8' Box 4WD, $41,587, Great Price, 22,122 miles, 
Used 2024 Ford, Ranger Raptor SuperCrew 5' Box 4WD, $63,998, High Price, 6,247 miles, 
Used 2024 Ford, Mustang Mach-E GT AWD, $41,000, Fair Price, 11,713 miles, 
Used 2024 Ford, Escape Active AWD, $21,500, Excellent Price, 22,715 miles, 
Used 2024 Ford, Bronco Badlands 4 Door Advanced 4WD, $51,688, Fair Price, 8,629 miles, 
Used 2024 Ford, Mustang GT Premium Convertible, $48,950, Fair Price, 16,983 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $36,999, Excellent Price, 31,525 miles, 
Used 2024 Ford, Bronco Outer Banks 4 Door 4WD, $48,295, High Price, 17,954 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $49,500, High Price, 184 miles, 
Used 2024 Ford, Expedition Limited 4WD, $55,999, Fair Price, 17,228 miles, 
Used 2024 Ford, Expedition Timberline 4WD, $68,887, Fair Price, 7,412 miles, 
