Used 2022 Honda, Civic Sport Sedan CVT, $22,387, Great Price, 52,957 miles, 
Used 2022 Honda, CR-V EX-L AWD, $28,339, Excellent Price, 16,686 miles, 
Used 2022 Honda, HR-V LX AWD, $22,147, Fair Price, 37,535 miles, 
Used 2022 Honda, CR-V EX-L AWD, $29,900, Fair Price, 44,373 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $33,888, Fair Price, 38,356 miles, 
Used 2022 Honda, HR-V Sport AWD, $22,644, Great Price, 30,294 miles, 
Used 2022 Honda, Ridgeline RTL-E, $31,928, Fair Price, 69,903 miles, 
Used 2022 Honda, Pilot TrailSport AWD, $30,995, Fair Price, 72,896 miles, 
Used 2022 Honda, Ridgeline RTL-E, $34,799, Great Price, 19,137 miles, 
Used 2022 Honda, CR-V Hybrid EX-L AWD, $31,447, Fair Price, 34,549 miles, 
Used 2022 Honda, HR-V Sport AWD, $22,974, Great Price, 36,885 miles, 
Used 2022 Honda, CR-V Touring AWD, $30,062, Great Price, 30,385 miles, 
Used 2022 Honda, Ridgeline RTL, $32,988, Fair Price, 38,410 miles, 
Used 2022 Honda, Ridgeline RTL, $34,500, High Price, 59,551 miles, 
Used 2022 Honda, HR-V EX AWD, $19,995, Excellent Price, 58,659 miles, 
Used 2022 Honda, CR-V EX AWD, $28,487, Great Price, 21,953 miles, 
Used 2022 Honda, CR-V Hybrid Touring AWD, $31,948, Excellent Price, 59,480 miles, 
Used 2022 Honda, CR-V EX AWD, $33,982, High Price, 9,635 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $34,777, Fair Price, 27,229 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $37,975, Fair Price, 26,648 miles, 
Used 2022 Honda, HR-V Sport AWD, $23,500, Fair Price, 30,006 miles, 
Used 2022 Honda, CR-V EX AWD, $28,404, Great Price, 31,328 miles, 
Used 2022 Honda, CR-V EX AWD, $28,998, Great Price, 22,402 miles, 
Used 2022 Honda, CR-V EX-L AWD, $29,487, Great Price, 32,246 miles, 
Used 2022 Honda, Ridgeline Sport, $31,224, Fair Price, 34,957 miles, 
Used 2022 Honda, CR-V Hybrid EX AWD, $22,774, Excellent Price, 62,336 miles, 
Used 2022 Honda, Pilot Sport AWD, $29,987, Great Price, 35,181 miles, 
Used 2022 Honda, HR-V LX AWD, $20,816, High Price, 70,850 miles, 
Used 2022 Honda, CR-V EX-L AWD, $29,973, Fair Price, 28,459 miles, 
Used 2022 Honda, CR-V EX-L AWD, $29,487, Great Price, 33,103 miles, 
Used 2022 Honda, CR-V EX AWD, $27,987, Fair Price, 24,672 miles, 
Used 2022 Honda, HR-V EX AWD, $18,999, Great Price, 93,520 miles, 
Used 2022 Honda, CR-V EX-L AWD, $30,998, Fair Price, 31,161 miles, 
Used 2022 Honda, CR-V EX-L AWD, $30,000, Fair Price, 35,506 miles, 
Used 2022 Honda, CR-V EX-L AWD, $28,987, Fair Price, 37,870 miles, 
Used 2022 Honda, CR-V EX-L AWD, $28,487, Fair Price, 36,963 miles, 
Used 2022 Honda, CR-V EX AWD, $29,995, Fair Price, 20,216 miles, 
Used 2022 Honda, CR-V EX-L AWD, $34,471, Fair Price, 22,327 miles, 
Used 2022 Honda, CR-V EX AWD, $28,987, Fair Price, 16,209 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $32,993, Fair Price, 50,500 miles, 
