Year/Make, Model, Price, Rating, Mileage
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, 19548, Excellent Price, 65043
Used 2022 Hyundai, Tucson Limited AWD, 24490, Great Price, 38004
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, 21699, Excellent Price, 67421
Used 2022 Hyundai, Kona Limited AWD DCT, 21988, High Price, 42092
Used 2022 Hyundai, Tucson Limited AWD, 24602, Fair Price, 34314
Used 2022 Hyundai, Tucson SEL AWD, 21704, Great Price, 36286
Used 2022 Hyundai, Tucson SEL FWD, 19500, Excellent Price, 29560
Used 2022 Hyundai, Kona SEL AWD Automatic, 21995, High Price, 8795
Used 2022 Hyundai, Santa Cruz Limited AWD, 27895, Great Price, 27569
Used 2022 Hyundai, IONIQ 5 SE AWD, 23495, Excellent Price, 33372
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, 24683, Fair Price, 27675
Used 2022 Hyundai, Kona SEL AWD Automatic, 17994, Fair Price, 36472
Used 2022 Hyundai, Palisade Calligraphy AWD, 25995, Great Price, 54368
Used 2022 Hyundai, Tucson SEL AWD, 23000, Great Price, 42953
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 18500, Fair Price, 11198
Used 2022 Hyundai, Kona Limited AWD DCT, 18797, Great Price, 63054
Used 2022 Hyundai, Elantra N Line DCT, 21000, Excellent Price, 29251
Used 2022 Hyundai, Venue SEL IVT, 18000, Great Price, 18534
Used 2022 Hyundai, Sonata SEL, 18362, Excellent Price, 36560
Used 2022 Hyundai, Tucson SEL AWD, 22245, Fair Price, 24101
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, 21900, Great Price, 58520
Used 2022 Hyundai, Santa Fe SEL AWD, 24994, Great Price, 26640
Used 2022 Hyundai, Santa Cruz SEL Premium AWD, 24687, Great Price, 42725
Used 2022 Hyundai, Venue SEL IVT, 16990, Great Price, 32053
Used 2022 Hyundai, Tucson SEL AWD, 17995, Great Price, 75700
Used 2022 Hyundai, Tucson Limited AWD, 23988, Great Price, 21895
Used 2022 Hyundai, Elantra N Manual, 25995, Fair Price, 35188
Used 2022 Hyundai, Tucson SEL AWD, 24259, Fair Price, 23128
Used 2022 Hyundai, Palisade SEL AWD, 29195, Fair Price, 37482
Used 2022 Hyundai, Tucson 2022.5 SE AWD, 20483, Great Price, 32787
Used 2022 Hyundai, Venue Limited IVT, 16528, Excellent Price, 29207
Used 2022 Hyundai, Palisade Calligraphy AWD, 35775, Fair Price, 27765
Used 2022 Hyundai, IONIQ 5 SEL AWD, 26999, Excellent Price, 16695
Used 2022 Hyundai, Sonata SE, 17396, Great Price, 41877
Used 2022 Hyundai, Tucson SEL AWD, 22013, Fair Price, 28216
Used 2022 Hyundai, Santa Fe SEL AWD, 24999, Great Price, 25384
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 17470, Fair Price, 29203
Used 2022 Hyundai, Santa Fe SEL AWD, 22842, Great Price, 46169
Used 2022 Hyundai, Tucson SEL AWD, 20995, Great Price, 50953
Used 2022 Hyundai, Palisade SEL AWD, 25824, Excellent Price, 72684
Used 2022 Hyundai, Santa Fe SEL AWD, 24400, Great Price, 16009
Used 2022 Hyundai, Sonata SEL, 17516, Excellent Price, 50430
Used 2022 Hyundai, Sonata SEL, 21445, Great Price, 18479
Used 2022 Hyundai, Tucson Limited AWD, 24905, Fair Price, 44859
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 18250, Great Price, 36176
Used 2022 Hyundai, Kona SEL AWD Automatic, 20000, Fair Price, 36775
