Used 2022 Kia, Sorento X-Line S AWD, $30,998, Fair Price, 27,226 miles, 
Used 2022 Kia, K5 GT-Line FWD, $25,495, Fair Price, 24,682 miles, 
Used 2022 Kia, Telluride EX AWD, $30,995, Great Price, 51,572 miles, 
Used 2022 Kia, Telluride EX AWD, $33,995, Great Price, 19,531 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,994, Great Price, 43,791 miles, 
Used 2022 Kia, Forte LXS IVT, $17,495, Fair Price, 24,305 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,559, Fair Price, 31,085 miles, 
Used 2022 Kia, Soul LX IVT, $16,950, Great Price, 39,442 miles, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, $30,298, Excellent Price, 20,076 miles, 
Used 2022 Kia, Telluride EX AWD, $28,100, Fair Price, 112,447 miles, 
Used 2022 Kia, K5 LXS AWD, $20,895, Great Price, 22,769 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,895, Great Price, 8,115 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,995, Great Price, 25,458 miles, 
Used 2022 Kia, Soul LX IVT, $16,490, Great Price, 52,752 miles, 
Used 2022 Kia, Carnival SX Prestige, $27,984, Great Price, 74,230 miles, 
Used 2022 Kia, Forte LXS IVT, $11,900, Excellent Price, 55,665 miles, 
Used 2022 Kia, Carnival LXS, $28,500, Great Price, 35,390 miles, 
Used 2022 Kia, K5 GT-Line FWD, $21,695, Great Price, 13,565 miles, 
Used 2022 Kia, Telluride S AWD, $30,490, Fair Price, 36,208 miles, 
Used 2022 Kia, Seltos EX 2.0 AWD, $14,999, Great Price, 90,616 miles, 
Used 2022 Kia, Seltos SX 1.6T AWD, $19,999, Excellent Price, 31,894 miles, 
Used 2022 Kia, Seltos S 2.0 AWD, $19,995, High Price, 64,521 miles, 
Used 2022 Kia, EV6 Wind RWD, $18,499, High Price, 26,982 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,374, Great Price, 19,622 miles, 
Used 2022 Kia, K5 GT-Line FWD, $18,417, Fair Price, 96,236 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,999, Fair Price, 21,317 miles, 
Used 2022 Kia, Forte GT-Line IVT, $21,579, High Price, 14,899 miles, 
Used 2022 Kia, Telluride S AWD, $26,500, Fair Price, 98,558 miles, 
