Used 2023 Kia, Sorento X-Line EX AWD, $28,490, Great Price, 39,385 miles, 
Used 2023 Kia, Forte LX IVT, $18,000, Great Price, 16,872 miles, 
Used 2023 Kia, K5 LXS FWD, $21,243, Excellent Price, 23,617 miles, 
Used 2023 Kia, Sorento LX AWD, $25,746, Fair Price, 44,726 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $25,226, Great Price, 33,209 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,998, Fair Price, 34,359 miles, 
Used 2023 Kia, Sportage SX FWD, $24,498, High Price, 12,637 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,995, Great Price, 28,971 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $30,499, Great Price, 26,519 miles, 
Used 2023 Kia, Soul LX IVT, $16,736, Great Price, 40,779 miles, 
Used 2023 Kia, Forte GT DCT, $20,998, Fair Price, 61,630 miles, 
Used 2023 Kia, Forte GT-Line IVT, $20,499, Great Price, 20,329 miles, 
Used 2023 Kia, K5 LXS FWD, $17,985, Excellent Price, 49,560 miles, 
Used 2023 Kia, Telluride EX AWD, $33,995, Excellent Price, 21,434 miles, 
Used 2023 Kia, Soul GT-Line IVT, $20,899, Great Price, 35,372 miles, 
Used 2023 Kia, Soul LX IVT, $17,788, Fair Price, 21,940 miles, 
Used 2023 Kia, Sportage SX-Prestige FWD, $26,420, Excellent Price, 20,683 miles, 
Used 2023 Kia, Sportage EX FWD, $23,704, Excellent Price, 14,293 miles, 
Used 2023 Kia, Sorento X-Line EX AWD, $29,496, Excellent Price, 28,957 miles, 
Used 2023 Kia, Sportage SX FWD, $26,799, Fair Price, 26,529 miles, 
Used 2023 Kia, Sportage LX AWD, $21,955, Great Price, 39,182 miles, 
Used 2023 Kia, Forte GT-Line IVT, $17,590, Great Price, 40,708 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $29,991, Fair Price, 40,079 miles, 
Used 2023 Kia, Forte LXS IVT, $19,250, Fair Price, 26,151 miles, 
Used 2023 Kia, Sportage SX FWD, $23,990, Great Price, 44,331 miles, 
Used 2023 Kia, Forte LXS IVT, $17,799, Great Price, 13,328 miles, 
Used 2023 Kia, Soul S IVT, $20,794, Great Price, 6,866 miles, 
Used 2023 Kia, Forte LXS IVT, $16,995, Fair Price, 51,389 miles, 
Used 2023 Kia, Sportage LX AWD, $23,888, Fair Price, 15,254 miles, 
Used 2023 Kia, Soul GT-Line IVT, $18,499, Fair Price, 2,301 miles, 
Used 2023 Kia, Niro EV Wave, $21,995, Great Price, 23,447 miles, 
Used 2023 Kia, K5 GT-Line FWD, $19,899, Fair Price, 80,486 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,590, Great Price, 43,991 miles, 
Used 2023 Kia, Seltos S AWD, $22,097, Fair Price, 38,088 miles, 
Used 2023 Kia, Soul LX IVT, $17,895, Great Price, 25,180 miles, 
Used 2023 Kia, Soul LX IVT, $16,726, Excellent Price, 27,492 miles, 
Used 2023 Kia, Forte GT DCT, $19,995, Great Price, 34,065 miles, 
Used 2023 Kia, Seltos LX AWD, $20,495, Great Price, 11,163 miles, 
Used 2023 Kia, Forte GT-Line IVT, $21,250, Fair Price, 12,594 miles, 
Used 2023 Kia, Sorento Hybrid EX AWD, $31,995, Great Price, 6,393 miles, 
Used 2023 Kia, Telluride EX AWD, $39,995, Fair Price, 10,000 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $30,495, Fair Price, 36,591 miles, 
Used 2023 Kia, Seltos S AWD, $21,700, Great Price, 8,159 miles, 
Used 2023 Kia, Telluride EX X-Line AWD, $39,495, Great Price, 11,926 miles, 
Used 2023 Kia, Soul LX IVT, $17,888, Fair Price, 22,912 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $31,979, Fair Price, 29,278 miles, 
Used 2023 Kia, Forte LXS IVT, $17,498, Fair Price, 54,957 miles, 
Used 2023 Kia, Sportage LX FWD, $18,446, Fair Price, 60,309 miles, 
Used 2023 Kia, Soul LX IVT, $19,774, Fair Price, 10,760 miles, 
Used 2023 Kia, Sportage LX AWD, $21,005, Great Price, 44,881 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,948, Fair Price, 36,583 miles, 
Used 2023 Kia, Telluride EX X-Line AWD, $40,998, Fair Price, 17,458 miles, 
Used 2023 Kia, Sportage EX FWD, $26,771, Fair Price, 10,002 miles, 
Used 2023 Kia, Forte GT-Line IVT, $23,998, High Price, 6,820 miles, 
Used 2023 Kia, Forte LXS IVT, $17,717, Great Price, 15,786 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $18,698, Excellent Price, 68,084 miles, 
Used 2023 Kia, Forte GT-Line IVT, $21,448, Fair Price, 17,314 miles, 
Used 2023 Kia, Carnival LXS, $30,999, Great Price, 44,148 miles, 
Used 2023 Kia, Soul LX IVT, $18,275, Great Price, 35,914 miles, 
Used 2023 Kia, Forte LXS IVT, $19,946, Fair Price, 8,023 miles, 
Used 2023 Kia, Forte LXS IVT, $15,399, Great Price, 55,340 miles, 
Used 2023 Kia, Forte LXS IVT, $20,998, Fair Price, 3,370 miles, 
Used 2023 Kia, Sportage EX FWD, $24,999, High Price, 41,928 miles, 
Used 2023 Kia, Forte LXS IVT, $18,462, Fair Price, 28,438 miles, 
Used 2023 Kia, Sorento Hybrid SX Prestige AWD, $34,489, Great Price, 10,030 miles, 
Used 2023 Kia, Sorento Plug-In Hybrid SX Prestige AWD, $35,511, Great Price, 33,495 miles, 
Used 2023 Kia, Sorento X-Line EX AWD, $27,195, Fair Price, 21,045 miles, 
Used 2023 Kia, Sportage EX FWD, $22,290, Fair Price, 36,877 miles, 
Used 2023 Kia, Sportage LX FWD, $22,998, Fair Price, 44,700 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $21,999, High Price, 13,533 miles, 
Used 2023 Kia, Telluride SX Prestige X-Pro AWD, $41,499, Great Price, 21,076 miles, 
Used 2023 Kia, Sportage X-Line AWD, $28,296, Fair Price, 22,618 miles, 
Used 2023 Kia, K5 GT FWD DCT, $28,554, Great Price, 20,577 miles, 
Used 2023 Kia, Sorento LX AWD, $25,746, Fair Price, 44,726 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $25,226, Great Price, 33,209 miles, 
Used 2023 Kia, Rio S Sedan IVT, $16,998, Great Price, 11,290 miles, 
Used 2023 Kia, Telluride EX X-Line AWD, $41,998, Fair Price, 22,167 miles, 
Used 2023 Kia, Forte LXS IVT, $15,900, High Price, 72,611 miles, 
Used 2023 Kia, Sportage X-Line AWD, $30,273, High Price, 9,213 miles, 
Used 2023 Kia, K5 GT-Line AWD, $27,995, Fair Price, 19,225 miles, 
Used 2023 Kia, Forte LXS IVT, $17,494, Fair Price, 19,067 miles, 
Used 2023 Kia, Telluride SX X-Pro AWD, $39,998, Excellent Price, 29,818 miles, 
Used 2023 Kia, Sportage EX AWD, $27,998, Fair Price, 27,474 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $23,489, Fair Price, 84,646 miles, 
Used 2023 Kia, Sportage X-Line AWD, $28,354, High Price, 29,561 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $22,773, Great Price, 30,348 miles, 
Used 2023 Kia, Forte LXS IVT, $16,585, Excellent Price, 19,227 miles, 
Used 2023 Kia, Sportage LX AWD, $18,999, Great Price, 52,692 miles, 
Used 2023 Kia, Sportage X-Line AWD, $24,200, Great Price, 28,264 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $32,326, Fair Price, 19,096 miles, 
Used 2023 Kia, Forte GT-Line IVT, $17,999, Fair Price, 23,007 miles, 
Used 2023 Kia, Forte LXS IVT, $17,888, Fair Price, 20,362 miles, 
Used 2023 Kia, Seltos LX AWD, $18,790, Great Price, 31,990 miles, 
Used 2023 Kia, Sportage EX AWD, $23,925, Great Price, 47,792 miles, 
Used 2023 Kia, Telluride EX AWD, $39,594, Fair Price, 28,965 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $29,998, High Price, 19,118 miles, 
Used 2023 Kia, Soul LX IVT, $18,348, Fair Price, 13,302 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $24,919, Fair Price, 50,016 miles, 
Used 2023 Kia, Niro Hybrid SX, $27,998, Fair Price, 29,895 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $25,998, High Price, 53,065 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $27,998, Fair Price, 23,609 miles, 
Used 2023 Kia, Carnival LXS, $28,999, Great Price, 50,794 miles, 
Used 2023 Kia, Forte LXS IVT, $17,799, Great Price, 13,328 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,995, Fair Price, 52,341 miles, 
Used 2023 Kia, Seltos S AWD, $21,700, Great Price, 8,159 miles, 
Used 2023 Kia, Sportage X-Line AWD, $27,998, Fair Price, 25,038 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,695, Great Price, 30,426 miles, 
Used 2023 Kia, Soul S IVT, $19,133, Fair Price, 48,592 miles, 
Used 2023 Kia, Sportage EX FWD, $27,998, High Price, 23,208 miles, 
Used 2023 Kia, Forte GT DCT, $19,995, Great Price, 34,065 miles, 
Used 2023 Kia, Forte GT DCT, $24,998, Fair Price, 17,586 miles, 
Used 2023 Kia, Forte LXS IVT, $17,498, Fair Price, 54,957 miles, 
Used 2023 Kia, Sorento X-Line S AWD, $28,490, High Price, 48,890 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $26,998, Fair Price, 46,989 miles, 
Used 2023 Kia, Sportage LX AWD, $21,955, Great Price, 39,182 miles, 
Used 2023 Kia, Sportage EX AWD, $22,698, Great Price, 29,218 miles, 
Used 2023 Kia, Soul LX IVT, $19,595, High Price, 38,394 miles, 
Used 2023 Kia, Forte LXS IVT, $17,291, Excellent Price, 33,135 miles, 
Used 2023 Kia, Sportage LX AWD, $21,005, Great Price, 44,881 miles, 
Used 2023 Kia, Soul LX IVT, $12,295, Excellent Price, 91,684 miles, 
Used 2023 Kia, Sportage EX FWD, $23,704, Excellent Price, 14,293 miles, 
Used 2023 Kia, Sportage SX-Prestige FWD, $26,420, Excellent Price, 20,683 miles, 
Used 2023 Kia, K5 LXS FWD, $17,985, Excellent Price, 49,560 miles, 
Used 2023 Kia, Sportage LX AWD, $21,400, Great Price, 18,440 miles, 
Used 2023 Kia, Sportage X-Pro AWD, $28,490, Fair Price, 38,640 miles, 
Used 2023 Kia, Forte LXS IVT, $17,888, Fair Price, 20,362 miles, 
Used 2023 Kia, Soul LX IVT, $17,895, Great Price, 25,180 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $23,489, Fair Price, 84,646 miles, 
