Used 2022 Subaru, Ascent Touring 7-Passenger, $32,501, Fair Price, 38,328 miles, 
Used 2022 Subaru, Legacy 2.5i Limited, $27,998, Fair Price, 8,041 miles, 
Used 2022 Subaru, Forester 2.5i, $22,655, Fair Price, 50,374 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $23,855, Great Price, 43,750 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $31,995, Fair Price, 17,040 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,788, Fair Price, 13,889 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $26,999, Great Price, 59,060 miles, 
Used 2022 Subaru, Forester Premium, $25,933, Fair Price, 35,696 miles, 
Used 2022 Subaru, WRX Limited Manual, $27,460, Great Price, 46,651 miles, 
Used 2022 Subaru, Forester Premium, $25,413, Fair Price, 42,177 miles, 
Used 2022 Subaru, WRX Premium Manual, $23,795, Excellent Price, 55,581 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,307, Fair Price, 38,225 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $23,679, Great Price, 27,720 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $19,491, Great Price, 53,316 miles, 
Used 2022 Subaru, Forester Limited, $26,585, Great Price, 51,612 miles, 
Used 2022 Subaru, Forester 2.5i, $25,499, Fair Price, 27,069 miles, 
Used 2022 Subaru, Forester Wilderness, $26,499, Fair Price, 45,495 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $29,336, Great Price, 44,002 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,994, Fair Price, 33,383 miles, 
Used 2022 Subaru, Ascent Limited 8-Passenger, $32,680, Great Price, 16,114 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,770, Fair Price, 34,565 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,970, Great Price, 24,054 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $27,995, Fair Price, 33,607 miles, 
Used 2022 Subaru, Forester Premium, $20,995, Great Price, 96,650 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $23,255, Fair Price, 30,663 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $24,542, Fair Price, 31,798 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $27,839, Fair Price, 34,034 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,995, Great Price, 26,273 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $26,488, High Price, 36,815 miles, 
Used 2022 Subaru, Forester Wilderness, $27,995, Great Price, 27,594 miles, 
Used 2022 Subaru, Forester Touring, $30,999, Great Price, 23,053 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,670, Great Price, 45,613 miles, 
Used 2022 Subaru, Ascent Limited 8-Passenger, $24,999, Fair Price, 67,657 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,495, Fair Price, 28,676 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,995, Great Price, 15,820 miles, 
Used 2022 Subaru, Impreza Premium Sedan CVT, $20,945, Great Price, 22,845 miles, 
Used 2022 Subaru, Outback 2.4T Limited XT, $28,999, Fair Price, 39,829 miles, 
Used 2022 Subaru, Impreza 5-door CVT, $20,199, Great Price, 20,675 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $34,000, Fair Price, 30,860 miles, 
Used 2022 Subaru, WRX Premium Manual, $23,490, Excellent Price, 36,698 miles, 
Used 2022 Subaru, Forester Touring, $29,300, Great Price, 18,002 miles, 
Used 2022 Subaru, Outback 2.5i, $16,499, Fair Price, 120,272 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $33,981, Great Price, 26,904 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $30,347, Great Price, 29,090 miles, 
Used 2022 Subaru, WRX Manual, $26,400, Fair Price, 14,375 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,199, Fair Price, 45,891 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $25,359, Fair Price, 58,576 miles, 
Used 2022 Subaru, Forester Touring, $32,995, Fair Price, 21,452 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $29,499, Fair Price, 23,710 miles, 
Used 2022 Subaru, Outback 2.4T Onyx Edition XT, $30,140, Great Price, 19,168 miles, 
Used 2022 Subaru, Impreza Sport 5-door CVT, $22,995, Great Price, 27,924 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,432, Great Price, 19,357 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,753, Fair Price, 28,737 miles, 
Used 2022 Subaru, Forester Limited, $28,260, Fair Price, 23,772 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $22,277, Excellent Price, 37,436 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium Manual, $26,140, Fair Price, 17,475 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,467, Great Price, 24,824 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $25,160, Fair Price, 23,680 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $29,900, Great Price, 39,487 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $24,000, Fair Price, 64,045 miles, 
Used 2022 Subaru, Ascent Limited 8-Passenger, $29,290, Great Price, 42,017 miles, 
Used 2022 Subaru, Forester Wilderness, $27,995, Fair Price, 34,503 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,032, Great Price, 32,695 miles, 
Used 2022 Subaru, Forester Premium, $27,995, Fair Price, 26,008 miles, 
Used 2022 Subaru, Outback 2.4T Wilderness, $24,665, Great Price, 72,760 miles, 
Used 2022 Subaru, Forester Limited, $26,527, Fair Price, 42,946 miles, 
Used 2022 Subaru, Forester Premium, $26,000, High Price, 24,090 miles, 
Used 2022 Subaru, Impreza Sedan CVT, $19,983, Fair Price, 11,508 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $26,485, High Price, 17,300 miles, 
Used 2022 Subaru, Outback 2.5i, $24,995, Fair Price, 21,722 miles, 
Used 2022 Subaru, BRZ Limited Automatic, $29,495, Fair Price, 7,397 miles, 
Used 2022 Subaru, Ascent Premium 7-Passenger, $28,499, Fair Price, 44,458 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $27,499, Fair Price, 31,764 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $34,998, Fair Price, 23,997 miles, 
Used 2022 Subaru, Forester Wilderness, $26,650, Great Price, 18,372 miles, 
Used 2022 Subaru, Ascent Premium 8-Passenger, $28,292, Fair Price, 32,584 miles, 
Used 2022 Subaru, Ascent Limited 7-Passenger, $30,717, Great Price, 35,403 miles, 
Used 2022 Subaru, Forester Premium, $24,500, Fair Price, 58,099 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $25,495, Fair Price, 11,787 miles, 
Used 2022 Subaru, Forester Premium, $26,500, Fair Price, 29,871 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,336, Fair Price, 32,104 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $25,753, Fair Price, 28,737 miles, 
Used 2022 Subaru, Forester Wilderness, $24,998, Great Price, 46,003 miles, 
Used 2022 Subaru, Forester Limited, $26,585, Great Price, 51,612 miles, 
Used 2022 Subaru, Legacy 2.5i Limited, $21,811, Fair Price, 50,606 miles, 
Used 2022 Subaru, Ascent Touring 7-Passenger, $28,713, High Price, 65,567 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $25,543, Great Price, 41,952 miles, 
