Used 2019 BMW, X3 xDrive30i AWD, $19,777, High Price, 80,921 miles, 
Used 2019 BMW, X5 xDrive40i, $29,499, High Price, 88,399 miles, 
Used 2019 BMW, X5 xDrive40i, $27,461, High Price, 96,815 miles, 
Used 2019 BMW, X3 sDrive30i RWD, $22,980, High Price, 76,258 miles, 
Used 2019 BMW, X5 xDrive40i, $23,995, High Price, 114,389 miles, 
Used 2019 BMW, 430i xDrive Gran Coupe, $23,998, Great Price, 46,027 miles, 
Used 2019 BMW, X2 M35i, $26,877, Fair Price, 49,054 miles, 
Used 2019 BMW, M550i xDrive, $38,251, High Price, 38,296 miles, 
Used 2019 BMW, X7 xDrive50i, $37,988, High Price, 70,129 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $16,790, Fair Price, 79,490 miles, 
Used 2019 BMW, X5 xDrive40i, $27,461, High Price, 96,815 miles, 
Used 2019 BMW, X5 xDrive40i, $33,999, Fair Price, 47,222 miles, 
Used 2019 BMW, 330i Sedan RWD, $20,142, High Price, 88,330 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $21,999, Fair Price, 52,588 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $23,985, High Price, 53,017 miles, 
Used 2019 BMW, 330i xDrive Sedan, $23,180, Fair Price, 62,569 miles, 
Used 2019 BMW, X5 xDrive40i, $24,995, High Price, 75,403 miles, 
Used 2019 BMW, X3 sDrive30i RWD, $20,590, Fair Price, 49,875 miles, 
Used 2019 BMW, 750i xDrive, $28,500, Great Price, 77,609 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $19,777, High Price, 80,921 miles, 
Used 2019 BMW, M550i xDrive, $31,900, High Price, 68,047 miles, 
Used 2019 BMW, X5 xDrive40i, $25,495, Fair Price, 96,763 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $19,495, High Price, 70,083 miles, 
Used 2019 BMW, X3 sDrive30i RWD, $22,980, High Price, 76,258 miles, 
Used 2019 BMW, X5 xDrive40i, $28,995, High Price, 88,895 miles, 
Used 2019 BMW, 530i RWD, $15,795, High Price, 115,658 miles, 
Used 2019 BMW, M550i xDrive, $38,251, High Price, 38,296 miles, 
Used 2019 BMW, X3 xDrive30i AWD, $24,495, High Price, 47,252 miles, 
Used 2019 BMW, 530i xDrive, $18,395, Excellent Price, 88,102 miles, 
Used 2019 BMW, X1 xDrive28i AWD, $18,849, High Price, 73,872 miles, 
Used 2019 BMW, X5 xDrive50i, $29,987, Great Price, 81,870 miles, 
Used 2019 BMW, X5 xDrive40i, $23,995, High Price, 114,389 miles, 
Used 2019 BMW, X5 xDrive40i, $26,995, High Price, 88,507 miles, 
Used 2019 BMW, M850i Convertible, $54,995, High Price, 26,275 miles, 
Used 2019 BMW, 540i xDrive, $20,695, High Price, 60,453 miles, 
Used 2019 BMW, X1 xDrive28i AWD, $21,750, Fair Price, 39,906 miles, 
Used 2019 BMW, X5 xDrive40i, $27,995, High Price, 82,027 miles, 
Used 2019 BMW, X7 xDrive50i, $37,988, High Price, 70,129 miles, 
Used 2019 BMW, X1 xDrive28i AWD, $18,849, High Price, 73,872 miles, 
Used 2019 BMW, X1 xDrive28i AWD, $21,750, Fair Price, 39,906 miles, 
Used 2019 BMW, 430i xDrive Gran Coupe, $17,899, High Price, 78,852 miles, 
Used 2019 BMW, 540i xDrive, $20,695, High Price, 60,453 miles, 
