Used 2020 Hyundai, Palisade SEL AWD, $18,999, Great Price, 98,487 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $9,295, Excellent Price, 110,687 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $24,207, Fair Price, 45,649 miles, 
Used 2020 Hyundai, Sonata Limited, $16,912, High Price, 99,891 miles, 
Used 2020 Hyundai, Venue SEL IVT, $12,300, Fair Price, 82,376 miles, 
Used 2020 Hyundai, Tucson SE FWD, $16,995, Fair Price, 54,149 miles, 
Used 2020 Hyundai, Veloster N Manual, $18,998, Fair Price, 47,025 miles, 
Used 2020 Hyundai, Accent SE Automatic, $13,995, High Price, 66,194 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.0T AWD, $21,995, Fair Price, 68,906 miles, 
Used 2020 Hyundai, Elantra GT Automatic, $17,792, Fair Price, 19,498 miles, 
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), $13,899, Great Price, 66,494 miles, 
Used 2020 Hyundai, Tucson Value AWD, $15,693, Fair Price, 83,521 miles, 
Used 2020 Hyundai, Tucson Value AWD, $14,995, Great Price, 92,330 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $18,320, High Price, 86,124 miles, 
Used 2020 Hyundai, Palisade SEL AWD, $27,642, Fair Price, 51,377 miles, 
Used 2020 Hyundai, Sonata Hybrid Blue, $20,959, High Price, 25,173 miles, 
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), $14,447, Fair Price, 49,368 miles, 
Used 2020 Hyundai, Elantra SEL IVT (SULEV), $13,577, High Price, 81,868 miles, 
Used 2020 Hyundai, Ioniq Electric SE, $13,995, Fair Price, 54,993 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L FWD, $18,900, High Price, 80,709 miles, 
Used 2020 Hyundai, Sonata SEL Plus, $19,998, Fair Price, 30,839 miles, 
Used 2020 Hyundai, Elantra SE 2.0L IVT, $17,895, High Price, 34,855 miles, 
Used 2020 Hyundai, Veloster Turbo R-Spec Manual, $14,995, High Price, 93,863 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $19,299, Fair Price, 94,477 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $10,995, Great Price, 87,965 miles, 
Used 2020 Hyundai, Tucson Limited AWD, $16,490, High Price, 96,841 miles, 
Used 2020 Hyundai, Tucson Ultimate AWD, $14,999, High Price, 120,857 miles, 
Used 2020 Hyundai, Kona Limited AWD DCT, $15,499, High Price, 92,592 miles, 
Used 2020 Hyundai, Palisade Limited FWD, $27,930, High Price, 65,379 miles, 
Used 2020 Hyundai, Elantra Limited IVT (SULEV), $19,605, High Price, 19,592 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $15,990, Great Price, 74,566 miles, 
Used 2020 Hyundai, Ioniq Electric Limited, $12,999, High Price, 40,265 miles, 
Used 2020 Hyundai, Kona Ultimate AWD DCT, $17,999, High Price, 61,407 miles, 
Used 2020 Hyundai, Elantra SE 2.0L IVT, $14,528, Great Price, 40,197 miles, 
Used 2020 Hyundai, Sonata SEL, $15,000, Fair Price, 78,506 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $15,995, Great Price, 93,659 miles, 
Used 2020 Hyundai, Ioniq Plug-In Hybrid SE, $18,000, Great Price, 50,186 miles, 
Used 2020 Hyundai, Tucson Value FWD, $17,649, High Price, 66,946 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $22,500, Great Price, 30,843 miles, 
Used 2020 Hyundai, Sonata SE, $15,995, High Price, 61,709 miles, 
Used 2020 Hyundai, Veloster N Manual, $18,495, Great Price, 61,028 miles, 
Used 2020 Hyundai, Veloster Turbo R-Spec Manual, $17,850, High Price, 61,942 miles, 
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), $15,995, High Price, 40,485 miles, 
Used 2020 Hyundai, Santa Fe SE 2.4L AWD, $19,995, High Price, 60,316 miles, 
Used 2020 Hyundai, Elantra SE IVT (SULEV), $9,497, Excellent Price, 110,326 miles, 
Used 2020 Hyundai, Palisade SEL FWD, $20,564, High Price, 83,090 miles, 
Used 2020 Hyundai, Tucson SE AWD, $18,998, Fair Price, 48,412 miles, 
Used 2020 Hyundai, Palisade Limited FWD, $22,999, High Price, 79,396 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $22,905, Fair Price, 53,315 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $21,995, Great Price, 57,639 miles, 
Used 2020 Hyundai, Elantra Limited IVT (SULEV), $12,990, High Price, 94,261 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $21,999, High Price, 72,293 miles, 
Used 2020 Hyundai, Ioniq Hybrid Blue, $18,998, High Price, 49,204 miles, 
Used 2020 Hyundai, Tucson SEL AWD, $16,288, Great Price, 61,745 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $16,499, High Price, 100,790 miles, 
Used 2020 Hyundai, Elantra SE IVT (SULEV), $16,277, High Price, 19,559 miles, 
Used 2020 Hyundai, Santa Fe SE 2.4L FWD (SULEV), $14,948, Excellent Price, 66,123 miles, 
Used 2020 Hyundai, Kona SEL AWD Automatic, $17,000, High Price, 58,495 miles, 
Used 2020 Hyundai, Sonata SE, $19,299, High Price, 102,909 miles, 
Used 2020 Hyundai, Tucson Value FWD, $15,838, High Price, 76,976 miles, 
Used 2020 Hyundai, Sonata SE, $16,995, High Price, 87,191 miles, 
Used 2020 Hyundai, Kona Limited AWD DCT, $13,495, High Price, 100,105 miles, 
Used 2020 Hyundai, Tucson Ultimate AWD, $16,495, High Price, 92,678 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $25,495, High Price, 46,196 miles, 
Used 2020 Hyundai, Kona SE AWD Automatic, $17,993, Fair Price, 22,678 miles, 
Used 2020 Hyundai, Sonata SE, $16,304, High Price, 56,478 miles, 
Used 2020 Hyundai, Sonata SE, $17,695, High Price, 85,805 miles, 
Used 2020 Hyundai, Sonata SEL, $21,275, High Price, 59,590 miles, 
Used 2020 Hyundai, Elantra SEL IVT (SULEV), $12,995, High Price, 69,873 miles, 
