Used 2023 Hyundai, Santa Fe Limited AWD, $29,999, Great Price, 11,911 miles, 
Used 2023 Hyundai, Sonata N Line 2.5T, $26,035, Fair Price, 21,246 miles, 
Used 2023 Hyundai, Tucson Limited AWD, $29,998, Fair Price, 23,935 miles, 
Used 2023 Hyundai, Santa Fe Calligraphy AWD, $31,990, Great Price, 20,541 miles, 
Used 2023 Hyundai, Kona SE AWD Automatic, $20,000, Great Price, 19,467 miles, 
Used 2023 Hyundai, Palisade Calligraphy AWD, $38,000, Excellent Price, 37,719 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $19,990, Great Price, 29,657 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $19,995, Great Price, 29,519 miles, 
Used 2023 Hyundai, Elantra Hybrid Limited DCT, $17,490, Excellent Price, 40,690 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $17,595, Excellent Price, 18,591 miles, 
Used 2023 Hyundai, Santa Cruz SEL AWD, $23,290, Great Price, 37,710 miles, 
Used 2023 Hyundai, Sonata SEL Plus 1.6T, $21,995, Great Price, 14,851 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $20,990, Great Price, 16,175 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $21,998, Fair Price, 18,378 miles, 
Used 2023 Hyundai, Palisade Calligraphy AWD, $39,126, Great Price, 39,825 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $20,605, Fair Price, 23,647 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $23,759, High Price, 16,138 miles, 
Used 2023 Hyundai, Venue SEL IVT, $19,000, Great Price, 22,355 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $20,998, High Price, 21,925 miles, 
Used 2023 Hyundai, Tucson Hybrid Limited AWD, $31,405, Fair Price, 11,019 miles, 
Used 2023 Hyundai, Tucson Limited AWD, $29,998, Fair Price, 23,935 miles, 
Used 2023 Hyundai, Elantra SE IVT, $16,998, Fair Price, 65,194 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $26,999, Great Price, 33,351 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $22,494, Great Price, 5,840 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,106, High Price, 29,999 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $21,998, Fair Price, 18,378 miles, 
Used 2023 Hyundai, Santa Fe Hybrid Blue AWD, $28,495, Fair Price, 9,933 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $17,595, Excellent Price, 18,591 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $17,494, Fair Price, 24,620 miles, 
Used 2023 Hyundai, Tucson XRT AWD, $24,497, High Price, 34,265 miles, 
Used 2023 Hyundai, Venue SEL IVT, $18,995, Great Price, 10,400 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $23,995, Fair Price, 64,022 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $20,995, Great Price, 17,212 miles, 
Used 2023 Hyundai, Venue SEL IVT, $20,998, High Price, 12,111 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $27,998, High Price, 18,524 miles, 
Used 2023 Hyundai, Santa Cruz Limited AWD, $30,559, Fair Price, 29,062 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,999, High Price, 38,267 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $17,934, Fair Price, 49,778 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $19,000, Fair Price, 34,602 miles, 
Used 2023 Hyundai, Tucson Limited AWD, $25,759, High Price, 56,085 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $22,295, High Price, 20,009 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $20,998, High Price, 21,925 miles, 
Used 2023 Hyundai, Santa Fe Calligraphy AWD, $31,998, High Price, 30,915 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $20,500, High Price, 12,283 miles, 
Used 2023 Hyundai, Santa Fe SEL FWD, $19,599, Fair Price, 48,175 miles, 
Used 2023 Hyundai, Santa Fe SE AWD, $25,998, Fair Price, 23,799 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $20,605, Fair Price, 23,647 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $25,998, Fair Price, 40,565 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $22,888, Great Price, 39,266 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,495, Excellent Price, 28,441 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,990, Fair Price, 18,413 miles, 
Used 2023 Hyundai, Santa Fe Limited AWD, $23,200, Excellent Price, 45,152 miles, 
Used 2023 Hyundai, Elantra Hybrid Limited DCT, $19,999, Excellent Price, 42,054 miles, 
Used 2023 Hyundai, Santa Fe Plug-In Hybrid Limited AWD, $31,498, Fair Price, 41,515 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $20,998, High Price, 44,571 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $23,805, Great Price, 20,300 miles, 
Used 2023 Hyundai, Tucson Hybrid SEL Convenience AWD, $29,998, High Price, 29,084 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,807, Fair Price, 23,206 miles, 
Used 2023 Hyundai, Venue SEL IVT, $20,277, High Price, 9,836 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $22,605, Fair Price, 8,417 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,399, Great Price, 23,318 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $23,998, High Price, 29,566 miles, 
