Used 2020 Nissan, 370Z Manual, $25,580, Excellent Price, 62,173 miles, 
Used 2020 Nissan, Rogue SL AWD, $22,191, Fair Price, 31,524 miles, 
Used 2020 Nissan, Rogue Sport S AWD, $17,950, Fair Price, 45,958 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $17,887, High Price, 35,787 miles, 
Used 2020 Nissan, Altima 2.5 SR FWD, $15,750, High Price, 88,342 miles, 
Used 2020 Nissan, Altima 2.5 SR AWD, $12,998, Fair Price, 127,399 miles, 
Used 2020 Nissan, Sentra S CVT, $14,500, Fair Price, 74,799 miles, 
Used 2020 Nissan, Rogue SV AWD, $21,525, High Price, 45,278 miles, 
Used 2020 Nissan, Rogue SL AWD, $19,988, Fair Price, 47,096 miles, 
Used 2020 Nissan, Altima 2.5 SR FWD, $14,995, High Price, 93,491 miles, 
Used 2020 Nissan, Frontier S King Cab 2WD, $22,995, High Price, 47,796 miles, 
Used 2020 Nissan, Altima 2.5 SR FWD, $16,995, High Price, 44,497 miles, 
Used 2020 Nissan, Pathfinder SV 4WD, $20,499, High Price, 76,720 miles, 
Used 2020 Nissan, Sentra SV CVT, $19,390, High Price, 8,228 miles, 
Used 2020 Nissan, Rogue Sport SV FWD, $21,000, High Price, 19,083 miles, 
Used 2020 Nissan, Frontier PRO-4X Crew Cab 4WD, $25,995, Fair Price, 64,164 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $19,495, Great Price, 47,862 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $20,950, High Price, 56,537 miles, 
Used 2020 Nissan, Sentra S CVT, $13,999, High Price, 93,004 miles, 
Used 2020 Nissan, Rogue Sport SV FWD, $15,495, High Price, 69,554 miles, 
Used 2020 Nissan, Armada SL 4WD, $19,995, High Price, 109,389 miles, 
Used 2020 Nissan, Rogue SL FWD, $16,895, Great Price, 103,164 miles, 
Used 2020 Nissan, Rogue SV FWD, $18,997, High Price, 60,622 miles, 
Used 2020 Nissan, Rogue SV AWD, $20,170, High Price, 47,829 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $17,724, High Price, 87,228 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $15,489, High Price, 92,215 miles, 
Used 2020 Nissan, 370Z NISMO Automatic, $38,950, High Price, 53,732 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $20,895, High Price, 58,609 miles, 
Used 2020 Nissan, Versa S CVT, $12,995, High Price, 72,039 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $17,149, High Price, 93,358 miles, 
Used 2020 Nissan, Versa S CVT, $14,995, High Price, 89,673 miles, 
Used 2020 Nissan, Rogue SL AWD, $18,659, High Price, 95,980 miles, 
Used 2020 Nissan, Rogue Sport S FWD, $12,248, High Price, 111,077 miles, 
Used 2020 Nissan, Armada SV 4WD, $17,995, High Price, 134,575 miles, 
Used 2020 Nissan, Kicks SR, $19,995, High Price, 69,061 miles, 
